Restaurant Name,Review,Rating,Date
Junglii Indian Street Food,Un restaurant qui sert des plats typiques et différents des autres restaurants. Dahi booms et Pani Puri à goûter absolument. Les plats sont très savoureux et bien expliqués par le serveur.,5,2024-06-29
Junglii Indian Street Food,"Très beau cadre, accueil sympathique, service discret et attentif, cuisine savoureuse, des assaisonnements et des épices maîtrisés",5,2024-03-25
Junglii Indian Street Food,Excellent dîner dans ce petit restaurant indien situé dans le 10eme arrondissement de Paris. Tant les entrées que les plats étaient excellents et savoureux. Mention spéciale pour l’agneau korma. Nous avons passé un très bon moment et le service était top! Bon rapport qualité prix,5,2023-10-13
Junglii Indian Street Food,"Un accueil pas très chaleureux, une carte excessivement cher comparé à ce que l’on peut manger dans un restaurant indien classique ne vaut franchement pas le détour",1,2023-04-25
Junglii Indian Street Food,"Nous avons essayé d’aller dans ce restaurant mais apparemment le manager n’avait pas envie de nous accueillir dès le début. Nous avons réservé à 21:00 pour une table à 21:45. Dans le métro, à 21:43 le manager a annulé notre réservation. Nous l’avons appelé et avons indiqué que nous arrivions. Il nous a rappelé 5 minutes plus tard pour nous mettre la pression. Nous sommes arrivés sur place à 22:00 et il nous a directement dit que ça n’allait pas être possible. Nous nous sommes excusés pour les 15 minutes de retard mais selon le manager c’était inadmissible et il estimait que c’était un no show (bien qu’il ait déjà annulé la réservation à 21:43 et qu’on l’ait appelé pour lui dire qu’on arrivait). Quand je lui ai dit qu’il nous avait mis la pression et qu’on ne traitait pas des clients comme ça, ce dernier est devenu hors de lui et nous a demandé de quitter son restaurant. Nous lui avons dit que nous voyageons depuis Genève et avions pris le métro exprès pour son restaurant mais il nous a tout de même mis dehors. Quel accueil…. C’est déplorable que des manager avec autant peu de sens de l’accueil fasse ce métier. Quelle honte. Je n’y remettrai plus jamais les pieds et vous déconseille vivement de vous y rendre.",1,2022-11-11
Junglii Indian Street Food,"Nous nous sommes régalés avec la street food indienne proposée, un vrai voyage gustatif ! Mention spéciale pour les petites bouchées au blé soufflé ! Nous recommandons vivement ce restaurant !",5,2022-09-24
Junglii Indian Street Food,"Le repas était succulent, un excellent accueil que dire de plus, une très agréable découverte et nous y retournerons !",5,2022-09-07
Junglii Indian Street Food,"Très bonne expérience, les mets sont goûteux, le service rapide et très bienveillant, je reviendrai c'est garanti! Merci!",5,2022-06-07
Junglii Indian Street Food,"Une très très belle adresse: service et conseils sur la carte impeccables, mets parfumés et de qualité: aucune fausse note!",5,2022-06-06
Junglii Indian Street Food,"J'ai dîner avec ma sœur dans ce restaurant. La nourriture était excellente, le service a été parfait. Cela a été un réel plaisir de dîner ici et j'y retournerai avec grand plaisir.",5,2022-05-14
Junglii Indian Street Food,"Séduit par les commentaires élogieux, je me suis décidé à venir tenter l'expérience ce samedi soir, avec ma compagne. Dès la porte d'entrée, nous avons très bien été accueillis, ce qui avec cette jolie décoration nous laissait augurer d'un bon moment. Pour cela, fallait-il encore que la cuisine soit à l'image du lieu et du personnel et ce fut vous l'aurez compris à ma note, plus que le cas. Tout au long du repas, nous avons été conseillés, les plats nous ont été décrits, aussi bien leurs compositions que leurs de leurs provenances. En parlant de conseil, en voilà un à mon tour ne passez pas à côté des DAHI BOOMS, une entrée avec des saveurs qui explosent en bouche, un régal. Le reste du repas étant du même acabit, je ne pourrai que vous conseiller d'y courir, impossible d'être déçu.... Nous-même tenons à féliciter cette brillante équipe, dans ce lieu où il sera sans doute difficile de réserver une table à l'avenir. A très bientôt nous concernant et merci de nous avoir fait redécouvrir la cuisine Indienne.",5,2022-04-17
Junglii Indian Street Food,Très bonne expérience chez Junglii. Le personnel est adorable et tout était délicieux. La décoration est également très jolie.,5,2021-11-27
Junglii Indian Street Food,La bonne adresse pour un Indien dans le 10ème! Un accueil aux petits oignons et des mets vraiment fins! Laissez vous guider par le responsable pour la dégustation!,5,2021-10-19
Junglii Indian Street Food,Super resto. Tous les plats étaient délicieux. Les cocktails sont excellents Et le serveur est très sympathique et de très bons conseils.,5,2021-07-04
Junglii Indian Street Food,"Cuisine indienne revisitée, moderne, avec des saveurs fines et parfumées. Belle présentation. Cadre et personnel agréable. Bon rapport qualité/prix. Seul bémol, pas de terrasse. Je recommande.",4,2021-06-27
Pierrot,Les entrées et plats sont excellents ! Et un service on top de Jérôme et Sandrine Nous étions 6 et avis unanime À faire absolument,5,2024-12-28
Pierrot,"Belle surprise, bon accueil, plats cuisinés maison et très bons, pomme de terre frites à la place des frites, excellent foie de veau, tarte aux poires maison où on sent le beurre, bon vin. Belle salle assez calme pour le quartier",5,2024-10-24
Pierrot,"Très bons plats, carte variée avec des prix très abordables. Service rapide et serveur super agréable, chaleureux. Les commodités étaient propres.",5,2024-09-17
Pierrot,"Excellent déjeuner. Et le personnel ainsi que son patron très sympathique. Un très bon point pour le tartare de bœuf, exquis...",4,2024-08-29
Pierrot,"Beaucoup aimé l'ambiance, un peu à la Jean Gabin, le repas et le service. Très envie de revenir. La propriétaire a pris le temps elle-même de me montrer tout l'établissement. Plusieurs petits salons intimes. Quel dommage que j'habite si loin....(au Brésil)!",5,2024-07-25
Pierrot,"All good comme toujours, nourriture, cadre, accueil… très constant et sûr. Vraiment adresse fiable sans mauvaise surprise. Parfait exemple de bonne nourriture française",5,2024-05-20
Pierrot,"Grâce à TripAdvisor, j'ai découvert ce restaurant/brasserie. Enfin un endroit qui a gardé son caractère! On se croirait dans un film de Marcel Carné. Les clients semblent tous se connaître, être du quartier. Et si nous avons attendu un peu, c'est qu'ils ne servent pas de plats congelés.",5,2024-05-15
Pierrot,"Pas mal, recettes classiques, rien d'inventif mais c'est bon. Profiteroles très bonnes. Service inégal. L'addition est salée pour un bistrot.",3,2024-04-13
Pierrot,"Encore une merveilleuse soirée, où on vient en amis qualité constante des plats ambiance plus que chaleureuse un incontournable à chacun de nos séjours à Paris ne changez rien on revient bientôt Elisabeth et Daniel",5,2024-03-19
Pierrot,"Comme d’habitude, c’est toujours parfait chez Pierrot. La cuisine est excellente, les produits sont de qualité, tout est fait maison, les vins sont à des prix tout à fait justes. L’ambiance est conviviale et l’accueil toujours exceptionnel, on se sent comme à la maison, on se sent bien chez Pierrot.",5,2024-02-16
Pierrot,"D’emblée on se sent bien… accueil chaleureux et ambiance d’habitués sympathiques !!!! Cuisine de brasserie parisienne avec de bons produits.. des cuissons parfaites et toujours un assaisonnement savoureux… Pièce de bœuf et frites sauce poivre, rognons ou ris de veau généreux… les pommes sarladaises sont exquises… le confit goûteux sans être gras !!! Desserts classiques Le service est efficace et d’une grande gentillesse….. Bon moment assuré pour un rapport qualité/prix correct à Paris…",4,2023-12-19
Pierrot,"Une de mes cantines préférées. Tout est bon. La cuisine, le service et la salle. Et l'accueil est toujours personnalisé.",5,2023-11-27
Pierrot,Établissement bistrot restaurant classique bien tenu. Carte cuisine française. Mais plats pas suffisamment bien cuisinés,3,2023-10-07
Pierrot,"Toujours un plaisir de revenir dans notre restaurant préféré du quartier, Jérôme toujours très accueillant, la carte que nous connaissons par cœur excellente, nous n’avons jamais été déçus par un plat. Produits de qualité, fait maison, savoureux et généreux. Une brasserie de quartier comme on l’aime, cuisine du terroir de qualité et conviviale. Merci pour tous les moments passés chez Pierrot !",5,2023-09-30
Pierrot,"Quel bonheur de voir qu’il existe encore des établissements comme ça à Paris où on sert de la vraie cuisine à la française avec un service parfait. Nous nous sommes régalés avec les fleurs de courgettes farcies au crabe, le plat de coques, et les rognons qui étaient parfaitement assaisonnés et cuits. Bravo on reviendra le plus souvent possible.",5,2023-09-14
Elsass,"Cardre moderne avec une cuisine ouverte. Nous avons fait les gourmands avec entrée,plat et dessert et tout était très bon entre les associations d'épices et la finesse des plats. A goûter absolument la truite soufflée .... un vrai régal !",5,2024-11-30
Elsass,"Très beau restaurant,dans un cadre épuré. Tout est vraiment bon,fin et bien exécuté(le dessert à la pêche était notamment exceptionnel),pour un rapport Q/P tout à fait correct. Un petit bémol concernant le service,agréable mais quelque peu expéditif. Alsacien de naissance et me rendant très régulièrement à Strasbourg,je trouve par ailleurs que les influences culinaires de la région ne sautent pas ni yeux,ni aux papilles(on ne mange pas de poulpe en Alsace;)),mais c'est anecdotique. J'y retournerai !",4,2024-07-08
Elsass,"Un superbe endroit à Paris pour un dîner d'affaires,entre amis ou en couple,dans une ambiance chic mais détendue. Le nouveau chef,la nouvelle carte,le lieu soigneusement décoré et le patron passionné par la cuisine et le vin qui ne cesse de se réinventer ne sont à manquer sous aucun prétexte ! Les assiettes sont fines et généreuses et le service attentionné.",5,2024-06-07
Elsass,Excellente table mêlant avec talent tradition et originalité. Très belle carte des meilleurs vins d’Alsace. Cadre sobre et chaleureux. Accueil parfait,5,2024-05-28
Elsass,"Assiettes de haut niveau,atmosphère feutrée,service impeccable … nous avons été conseillés avec justesse pour nos choix de vins par le patron,Guillaume. Un excellent moment !",5,2024-05-28
Omar Dhiab,"N'arrivez pas avant l'heure d'ouverture du restaurant sinon vous serez éconduit, même en hiver... Passé cette entrée en matière aussi froide que maladroite, le menu Essentiel, en 5 services, avec ses accords mets vins vous transporte. Mention spéciale au ris de veau, dans une préparation originale. La portion de homard est homéopathique... il est délicieux. Pour les vins, quelques belles découvertes malgré une fausse note. Prix de la coupe prohibitif. Et le bon usage qui consiste à offrir le second café pour une addition excédant 400€ pour deux n'est pas connu ici... dommage car ce restaurant a tous les ingrédients d'une excellente table",4,2024-12-04
Omar Dhiab,"Plats salés originaux produits frais et de qualité juste délicieux, raffinés et inventifs une petite remarque sur le sel parfois un peu trop présent.. les plats sucrés m’ont laissée moins enthousiaste mais c’est peut être un jugement subjectif. Je me rappellerai tout de même de la glace au gingembre. Remarque aussi sur le vin pas toujours adapté aux plats, verres remplis à l’économie et très chers pour le niveau.. Enfin la salle est petite et bruyante.. mais décorée avec goût et conviviale. Mes remarques ne se veulent pas négatives nous avons passé une très bonne soirée je veux juste vous partager les points sur lesquels vous pouvez vous améliorer.. mais je pense qu’il y a un super potentiel !",5,2024-11-16
Omar Dhiab,"Un dîner magique. Chaque plat est un émerveillement pour les yeux et les papilles. Un grand chef. Ambiance cosy, service attentionné.",5,2024-10-25
Omar Dhiab,soirée d’anniversaire nous avons pris le menu dégustation 7 plats du début à la fin les plats sont savoureux les sauces originales et recherchées une petite brioche est servi tiède un vrai régal mention spéciale pour le ris de veau tout était parfait,5,2024-10-09
Omar Dhiab,Belle table mais malheureusement les quantités servies sont limitées! Prix aussi assez élevé. Coupe de Champagne jusqu’à 45€!,3,2024-10-05
Omar Dhiab,"Une expérience exceptionnelle, le sentiment d'avoir diner dans le restaurant d'un déjà grand chef, futur troizétoilé. Plusieurs faits saillants: le personnel explique parfaitement et simplement les plats, les vins et le choix de CE vin pour CE plat. C'est limpide, simple, pourquoi CE producteur etc. Jeunes, sympas, pas pompeux: gros big up. Pour les plats, grande variété d'émotions: Le homard en 2 services, une surprise et une perfection, Le Croq'ris de veau, un truc de dingue, larmes aux yeux... j'avoue, tant mieux. L'agneau, en 6 cuissons du même agneau dans une assiette, 6 bouchées 6 saveurs, un voyage superbe, Le miel de sarrazin au parfum d'huile d'olive, un assortiment surprise. nous étions 6 et avons été convaincu d'avoir vécu "" un moment exceptionnel"".",5,2024-07-12
Omar Dhiab,"Excellent déjeuner avec la formule ""tumulte parisien"" à 58€. Service efficace. Amuse-bouche remarquables. Nous avons particulièrement apprécié notre plat principal (lapin à la laitue de mer avec sauce acidulée). Goûts affirmés, alliances réussies. Vaste carte des vins, nous avons choisi une bouteille de Bourgueil. Addition de 175€ très correcte pour un repas de cette qualité.",5,2024-05-07
Omar Dhiab,"Un restaurant merveilleux, où la cuisine est d'une inventivité rare. des saveurs et des textures originales, des plats servis dans un décor très agréable, aéré, et un personnel d'une grande gentillesse. La carte des vins est sublime. Ce restaurant mériterait largement une deuxième étoile !",5,2024-04-09
Omar Dhiab,"Belle cuisine orientale, quelques déséquilibres parfois. On a quand même pris beaucoup de plaisir. Carte des vins un peu légère.",4,2024-03-19
Omar Dhiab,"Déçus par ce restaurant étoilé. Dommage de servir un oursin avec une émulsion au piment si bien qu'on n'a pas senti l'oursin. Dommage que la coquille St Jacques soit servie avec des topinambours et autres produits si bien qu'on n'a pas senti la coquille St Jacques. Dommage d'avoir pris une part de Brillat-Savarin soi-disant truffé (j'ai cherché longtemps l'odeur de truffe) que l'on m'a proposé comme ça, et que je me sois fait facturer 30€ pour cette part. Belle surprise: -(! L'accord vin-mets est beaucoup trop cher pour des vins de qualité très moyenne. Dommage que le service était beaucoup trop long, plus de 3 heures pour 5 assiettes. Dommage...",3,2024-02-21
Omar Dhiab,"L'une des meilleures découvertes de ces dernières années à Paris: la cuisine d'Omar Dhiab, très créative voire aventureuse, est en même temps un modèle de précision et d'équilibre. Les épices, très présents, restent d'une douceur admirable. La justesse des cuissons et la perfection des sauces démontrent à quel point le chef maîtrise la haute gastronomie française. Le homard, servi avec un goûteux sabayon au poivre vert, ou le cerf, audacieusement salé d'un condiment sardine, sont de véritables sommets. La sommelière, très compétente, propose des accords parfaitement adaptés et souvent originaux (vin de macération, superbe blanc allemand, Valpolicella léger et fruité...). Ajoutons à cela un service très sympathique et d'un rythme idéal, un cadre confortable et élégant et un excellent rapport qualité-prix. On s'abonne ?",5,2024-02-05
Omar Dhiab,"Bravo à Omar Dhiab et à son équipe. Quelle belle cuisine, des plats gouteux bien élaborés, bien présentés. Le personnel est appréciable, discret sans attitude guindée ni déplacée. Les conseils sur le choix des vins sont judicieux, et c'est sympa de découvrir de nouvelles saveurs. Coup de coeur pour le Jura rouge fruité !",5,2024-01-29
