Name,Slug,Cuisine,Price Level,Average Price,Currency,Rating,Review Count,Street,Zip Code,Locality,Country,Latitude,Longitude
Touk Thai,touk-thai,Asiatique,2,21,EUR,9.6,113,34 Rue Traversière,75012,Paris,France,48.8484809,2.3744512
Alluma,alluma,,4,60,EUR,9.3,12,151 Rue Saint-Maur,75011,Paris,France,48.8681517,2.3749043
Bistro S,bistro-s,Français,3,40,EUR,9.5,436,7 Rue Saint-Nicolas,75012,Paris,France,48.8509389,2.3742997
Café de Chiraz,cafe-de-chiraz,Iranien,1,18,EUR,9,3,141 Rue de Vaugirard,75015,Paris,France,48.84410750000001,2.3168793
L'Épicerie de Loic.B,l-epicerie-de-loic-b,Français,2,21,EUR,9.7,52,7 Rue Sedaine,75011,Paris,France,48.855731,2.3714256
Libshop - Bibliothèque,libshop-bibliotheque,Libanais,2,20,EUR,8.9,398,3 Rue Jeanne Chauvin,75013,Paris,France,48.82692,2.3788322
Underground Coffee Gare de Lyon,underground-coffee-gare-de-lyon,Français,1,16,EUR,9.2,1573,12 Avenue Ledru-Rollin,75012,Paris,France,48.8462222,2.368635
Le Perroquet Vert,le-perroquet-vert,Français,3,41,EUR,9.1,1010,"7, rue Cavallotti",75018,Paris,France,48.886083246542,2.32846999168396
Mokko,mokko,Français,3,39,EUR,0,123,3 Rue Francoeur,75018,Paris,France,48.8900515,2.3422536
Tato,tato,Thaïlandais,1,15,EUR,9.5,158,10 Rue de la Fontaine du But,75018,Paris,France,48.8904609,2.339311
Lyoom Cantine Street Food,lyoom-cantine-street-food,Tunisien,1,18,EUR,8.8,23,50 Rue Jean-Pierre Timbaud,75011,Paris,France,48.8663737,2.3727871
Intuition Gourmande,intuition-gourmande,Français,3,39,EUR,0,394,4 rue Petel,75015,Paris,France,48.84121821758,2.299190044403076
El Comal,el-comal,Mexicain,1,17,EUR,9.2,13,55 Rue Saint-Maur,75011,Paris,France,48.8622089,2.3798587
Chef Elias Fares,chef-elias-fares,Libanais,2,26,EUR,9.2,191,54 Rue de la Convention,75015,Paris,France,48.8436183,2.2820184
Senso,senso,Italien,2,20,EUR,9.5,303,49 Rue Olivier de Serres,75015,Paris,France,48.8343774,2.2957649
Djakarta Bali,djakarta-bali,Asiatique,3,32,EUR,8.8,1600,"9, rue Vauvilliers			
",75001,Paris,France,48.86168324546,2.3432600498199463
Chez Simon,chez-simon,,3,39,EUR,9.2,511,36 Rue des Moines,75017,Paris,France,48.8890798,2.319871
Sapori,sapori,Italien,2,25,EUR,9.2,293,56 Avenue Daumesnil,75012,Paris,France,48.8451846,2.3790428
Touch In Paris,touch-in-paris,Français,3,49,EUR,9.3,5133,"20, rue Vignon",75009,Paris,France,48.871351836432,2.326430082321167
Chez Ly - Champs Elysées,chez-ly-champs-elysees,Chinois,4,55,EUR,8.8,585,8 Rue Lord Byron,75008,Paris,France,48.8734217,2.3001437
Pho Mui,pho-mui,Vietnamien,1,16,EUR,8.6,225,97 Av. d'Ivry,75013,Paris,France,48.8249812,2.3620365
Le Cherche Midi,le-cherche-midi,Italien,4,55,EUR,9.1,286,22 Rue du Cherche-Midi,75006,Paris,France,48.8507084,2.3279582
Café Framboise,cafe-framboise,Français,2,22,EUR,9.1,102,89 Rue de la Glacière,75013,Paris,France,48.8290211,2.3434101
Vita Ristorante,vita-ristorante,Italien,3,40,EUR,9.1,1238,9 Rue de l'École de Médecine,75006,Paris,France,48.8506579,2.3415895
L'Eden,l-eden,Français,3,30,EUR,8.6,646,43 Rue de la Chaussée d'Antin,75009,Paris,France,48.8751063,2.3321676
Mi Yuk,mi-yuk,Coréen,1,18,EUR,9.6,46,27 Rue Cambacérès,75008,Paris,France,48.8736075,2.3176411
L'Attilio Paris,l-attilio-paris,Français,4,120,EUR,9.3,36,184 Rue du Faubourg Saint-Honoré,75008,Paris,France,48.8744629,2.30712
Inka ,inka,Péruvien,3,32,EUR,9,2827,13 Boulevard du Temple,75003,Paris,France,48.8639492,2.3659536
Comme Gangnam,comme-gangnam,Coréen,3,33,EUR,8.9,1104,13 Rue la Fayette,75009,Paris,France,48.8739804,2.3360415
Molly's,molly-s,Français,3,30,EUR,8.3,116,91 Rue de Charenton,75012,Paris,France,48.848228,2.3764032
Indy Restaurant,indy-restaurant,Indien,2,23,EUR,8.8,1010,25 Rue du Faubourg Saint-Martin,75010,Paris,France,48.8700971,2.3558199
Clint Roquette,clint-roquette,Américain,2,25,EUR,0,1,174 Rue de la Roquette,75011,Paris,France,48.8591592,2.386468100000001
Pepone Pizzeria,pepone-pizzeria,Italien,2,29,EUR,8.4,59,3 Rue Grégoire de Tours,75006,Paris,France,48.8523093,2.3376248
Awabi,awabi,Japonais,2,22,EUR,9.2,374,33 Rue de l'Ouest,75014,Paris,France,48.8366087,2.3206522
Casa Rosa,casa-rosa,Européen,2,22,EUR,9.3,37,212 Bd Macdonald,75019,Paris,France,48.89891590000001,2.3723591
Frappé Par Bloom,frappe-par-bloom,Français,2,26,EUR,8.9,411,2 Rue Guénégaud,75006,Paris,France,48.8557887,2.3386753
La Cour du Faubourg,la-cour-du-faubourg,Français,2,25,EUR,9.6,946,29 Rue du Faubourg Saint-Antoine,75011,Paris,France,48.8526139,2.3717245
TOWA,towa,Français,3,46,EUR,9.7,957,75 Rue Crozatier,75012,Paris,France,48.8496034,2.3792739
Chiquette,chiquette,,4,71,EUR,9.1,557,5 Rue Louis Codet,75007,Paris,France,48.854956,2.308306
Chez Ming,chez-ming,Chinois,3,31,EUR,8.4,45,6 Rue de Monttessuy,75007,Paris,France,48.8599344,2.3001028
Del Mama,del-mama,Italien,3,35,EUR,9,54,39 Rue de Berri,75008,Paris,France,48.8739504,2.3067095
Comice,comice,Français,4,85,EUR,9.5,368,31 Avenue de Versailles,75016,Paris,France,48.849383,2.275946
Tiger Thai,tiger-thai,Asiatique,1,13,EUR,9.7,10,35 Rue la Condamine,75017,Paris,France,48.88655,2.3227833
Lombem,lombem,Français,3,46,EUR,8.7,192,22 Passage des Panoramas,75002,Paris,France,48.870711,2.3416666
Borgo Paris,borgo-paris,Italien,3,36,EUR,9,1566,"4, rue du Grand Prieure",75011,Paris,France,48.86486,2.36939
IL SANTO,il-santo,Italien,2,22,EUR,8.7,63,12 Rue des Prêcheurs,75001,Paris,France,48.8620799,2.3487703
Dépôt Légal Palais Royal,depot-legal-palais-royal,Français,2,26,EUR,8.9,325,6 Rue des Petits Champs,75002,Paris,France,48.8663364,2.3388561
Rivières d'Himalaya,rivieres-d-himalaya,Indien,1,18,EUR,9.5,505,61 Rue Claude Bernard,75005,Paris,France,48.8406284,2.3446841
L'Auberge Calabraise,l-auberge-calabraise,Italien,2,22,EUR,8.6,52,64 Boulevard Brune,75014,Paris,France,48.8256802,2.3136135
Perdue,perdue,Français,1,18,EUR,9.1,32,44 Rue du Caire,75002,Paris,France,48.8680372,2.3491909
Mojo For Good (Kitchenbar),mojo-for-good-kitchenbar,Français,2,26,EUR,8.5,410,23 Rue Louis le Grand,75002,Paris,France,48.8703678,2.3338423
La Scuderia,la-scuderia,Italien,3,33,EUR,9.2,75,10 Rue de l'Armorique,75015,Paris-15E-Arrondissement,France,48.8396246,2.3145063
Vidji,vidji,Africain,2,25,EUR,8.4,20,90 Rue de Maubeuge,75010,Paris,France,48.8798399,2.3504583
IM Thai Gourmet,im-thai-gourmet,Thaïlandais,3,30,EUR,9,3500,8 Rue de Port Mahon,75002,Paris,France,48.8695238,2.3342034
Bò bún 210,bo-bun-210,Vietnamien,1,19,EUR,9.1,294,210 Rue Saint-Jacques,75005,Paris,France,48.8454547,2.3424276
Firenze,firenze,Italien,2,26,EUR,7.8,141,24 Rue de Caumartin,75009,Paris,France,48.8718498,2.3282547
Le Sawa,le-sawa,Africain,2,25,EUR,8.2,134,196 Avenue du Maine,75014,Paris,France,48.8307892,2.3253179
Osoult,osoult,Américain,2,23,EUR,7.8,5,39 Bd Soult,75012,Paris,France,48.8381597,2.4079904
Okirama,okirama,Japonais,3,33,EUR,9,1168,48 Boulevard de Vaugirard,75015,Paris,France,48.8410891,2.3159854
Mozzafiato,mozzafiato,Italien,1,19,EUR,9.5,30,152 Rue de Charonne,75011,Paris,France,48.85547099999999,2.389966
Enkore,enkore,Pub grub,2,20,EUR,9.2,170,16 Rue Letort,75018,Paris,France,48.8943635,2.3432319
Le Bortsch,le-bortsch,Cuisine du monde,2,25,EUR,9.5,301,9 Rue de Gravelle,75012,Paris,France,48.83598809999999,2.3973463
Le Minet Galant,le-minet-galant,,3,30,EUR,9.3,895,8 Rue Monsigny,75002,Paris,France,48.8686643,2.3355026
DANTE,dante,Français,3,33,EUR,0,0,14 Rue de Paradis,75010,Paris,France,48.8747181,2.3540222
Vege,vege,Vegan,1,18,EUR,9.2,1231,122 Rue du Théâtre,75015,Paris,France,48.8458584,2.2953326
Bistro Romain Clichy,bistro-romain-clichy,Européen,2,23,EUR,9.1,439,181 Av. de Clichy,75017,Paris,France,48.89303200000001,2.315444
Le West Restaurant,le-west-restaurant,Français,4,53,EUR,8.9,655,15 Rue Daunou,75002,Paris,France,48.8695984,2.3309376
Supernature - Printemps,supernature-printemps,Français,3,36,EUR,8.1,193,64 Boulevard Haussmann,75009,Paris,France,48.8739447,2.3279945
Solemar,solemar,Libanais,2,28,EUR,9.4,1782,"56, rue Poussin",75016,Paris,France,48.848390589313,2.2604598999023438
Matka,matka,Europe de l'Est,3,45,EUR,9.1,22,78 R. Quincampoix,75003,Paris,France,48.8621729,2.3511688
Nomikaï,nomikai,Asiatique,4,65,EUR,8.7,200,14 Rue Crozatier,75012,Paris,France,48.8460269,2.382587
Cellar,cellar,Français,3,35,EUR,9.8,563,9 Rue de Crussol,75011,Paris,France,48.864147,2.367628
Restaurant Blanc,restaurant-blanc,,4,200,EUR,9.2,17,52 Rue de Longchamp,75116,Paris,France,48.86512829999999,2.2875706
RAMDAM,ramdam,Français,3,31,EUR,8.8,3,18 Rue Condorcet,75009,Paris,France,48.8796403,2.3473075
Le Génie Sous Les Étoiles,le-genie-sous-les-etoiles,Français,2,25,EUR,9,1091,15 Rue Breguet,75011,Paris,France,48.857637,2.3728355
Le Bouclard,le-bouclard,Français,3,45,EUR,9.8,1100,1 Rue Cavallotti,75018,Paris,France,48.885796,2.328688
La Terrasse,la-terrasse,Italien,2,27,EUR,8.7,6,5 Pl. de Barcelone,75016,Paris,France,48.84782779999999,2.2738919
Léon - Place de Clichy,leon-place-de-clichy,Fruits de mer,2,26,EUR,8.1,966,8 Place de Clichy,75009,Paris,France,48.8834488,2.328147
Chez Papa Bastille,chez-papa-bastille,Français,2,26,EUR,8.8,442,40 Boulevard de la Bastille,75012,Paris,France,48.850591,2.3690884
Les Cocottes Tour Eiffel,les-cocottes-tour-eiffel,Français,3,49,EUR,8.9,2182,135 Rue Saint-Dominique,75007,Paris,France,48.8580676,2.3018899
Samsara,samsara,Indien,3,33,EUR,9,118,3 Rue du Jourdain,75020,Paris,France,48.8740717,2.3893188
L'Avenue,l-avenue,Français,2,22,EUR,8,7,85 Rue Vauvenargues,75018,Paris,France,48.8974354,2.3291599
Anyi Ramen,anyi-ramen,Japonais,1,18,EUR,0,0,57 Rue de Vouillé,75015,Paris,France,48.83367759999999,2.3094847
L'Esmeralda,l-esmeralda,Européen,2,25,EUR,7,23,38 Avenue Victor Hugo,75116,Paris,France,48.8716846,2.289581
Restaurant Ambos,restaurant-ambos,Français,4,70,EUR,9.6,421,38 Rue de Vaugirard,75006,Paris,France,48.8493205,2.335224
Cajun Factory,cajun-factory,Américain,3,30,EUR,9.3,296,69 Rue Marguerite de Rochechouart,75009,Paris,France,48.8810912,2.3462944
Wokantine,wokantine,Asiatique,1,15,EUR,9.2,281,3 Boulevard de Bonne Nouvelle,75002,Paris,France,48.8696283,2.3521688
Ryukishin Eiffel,ryukishin-eiffel,Japonais,3,30,EUR,9.7,302,20 Rue de l'Exposition,75007,Paris,France,48.857456,2.3028915
Lyoom Cantine Traditionnelle,lyoom-cantine-traditionnelle,Tunisien,1,18,EUR,9.3,39,19 Rue de Nemours,75011,Paris,France,48.8659785,2.3721959
ISANA,isana,Argentin,2,28,EUR,9.2,599,7 Rue Bourdaloue,75009,Paris,France,48.8765267,2.3385357
Bellota-Bellota® Tour Eiffel,bellota-bellota-tour-eiffel,Espagnol,4,52,EUR,8.8,766,"18, rue Jean Nicot",75007,Paris,France,48.860433444374,2.307420015335083
Gwiyaomi,gwiyaomi,Coréen,2,21,EUR,9,1202,26 Rue Monsieur le Prince,75006,Paris,France,48.8495001,2.3400669
Le Frank - Jean-Louis Nomicos,le-frank-jean-louis-nomicos,Français,4,60,EUR,7.9,364,8 Av. du Mahatma Gandhi,75016,Paris,France,48.8766484,2.2635254
Coté Canal,cote-canal,Cuisine du monde,2,26,EUR,9.2,73,5 Quai de la Seine,75019,Paris,France,48.8845272,2.3699591
Midi 12 Champs-Elysées,midi-12-champs-elysees,Crêperie,1,19,EUR,9.3,460,56 Rue Galilée,75008,Paris,France,48.8713723,2.2983539
La Dorata,la-dorata,Italien,1,15,EUR,9.3,77,60 Rue Haxo,75020,Paris,France,48.8726925,2.4041266
Bala Fría,bala-fria,Vénézuelien,2,21,EUR,8.4,52,36 Rue du Faubourg Saint-Martin,75010,Paris,France,48.8702907,2.3564682
Belushi's Gare du nord,belushi-s-gare-du-nord,Américain,2,20,EUR,9.3,57,5 Rue de Dunkerque,75010,Paris,France,48.8793255,2.358052
Les passagers de Beyrouth,les-passagers-de-beyrouth,Libanais,2,26,EUR,9.4,1516,18 Passage de la Bonne Graine,75011,Paris,France,48.8522703,2.3773741
Armorix,armorix,Crêperie,1,19,EUR,9.7,184,23 Rue Sainte-Marthe,75010,Paris,France,48.874188,2.372129
Paris Villette Café,paris-villette-cafe,Américain,3,31,EUR,6.9,6,17 Av. Corentin Cariou,75019,Paris,France,48.89584310000001,2.3831439
Ono Sushi,ono-sushi,Japonais,1,15,EUR,9.6,484,60 Rue Dombasle,75015,Paris,France,48.8353369,2.3021122
Gast,gast,Français,2,25,EUR,9.1,244,14 Rue Bertin Poirée,75001,Paris,France,48.85885329999999,2.3449668
La Capannina,la-capannina,Italien,3,30,EUR,9.1,923,64 Rue de la Montagne Sainte Geneviève,75005,Paris,France,48.8469938,2.3478365
Chope-Moi Pigalle,chope-moi-pigalle,Français,1,16,EUR,0,1,32 Bd de Clichy,75018,Paris,France,48.8828197,2.3368012
Le Petit Fakra,le-petit-fakra,Libanais,2,26,EUR,9.7,1170,"77, rue Léon Frot",75011,Paris,France,48.85732,2.38452
CITEAUX SPHERE Disquaire-Restaurant,citeaux-sphere-disquaire-restaurant,Français,2,26,EUR,9.7,1125,45 Rue de Cîteaux,75012,Paris,France,48.8499196,2.3810067
Terre Rosse Pizzeria,terre-rosse-pizzeria,Italien,2,23,EUR,9.3,306,14 Rue des Goncourt,75011,Paris,France,48.8687564,2.3716512
The Grill Room,the-grill-room,Français,3,42,EUR,8.6,1136,73 Rue de Monceau,75008,Paris,France,48.8794635,2.3138279
Il Seguito,il-seguito,Italien,2,29,EUR,8.8,624,56 Bd Beaumarchais,75011,Paris,France,48.857546,2.3683495
Bofinger,bofinger,Alsacien,4,69,EUR,8.9,2607,"5-7, rue de la Bastille",75004,Paris,France,48.85385,2.36789
Le Pont Traversé,le-pont-traverse,Américain,1,19,EUR,8.8,38,62 Rue de Vaugirard,75006,Paris,France,48.84864080000001,2.3318359
